t,P_mtp_toes_r,y,z,P_subt_calc_r,y,z,P_Ankle_tal_r,y,z,P_KneeJ_r,y,z,P_HipJ_r,y,z,P_Pelvis_C,y,z,P_Torso,y,z,P_neck,y,z,P_sho_r,y,z,P_elb_r,y,z,P_hand_r,y,z,P_sho_l,y,z,P_elb_l,y,z,P_hand_l,y,z,P_HipJ_l,y,z,P_KneeJ_l,y,z,P_Ankle_tal_l,y,z,P_subt_calc_l,y,z,P_mtp_toes_l,y,z,Pc_total,y,z,acc_Total_COM,y,z,pelvis Tilt - z,pelvis List - x,pelvis rotation - y,hip flexion_r - z,hip adduction_r - x,hip rotation_r - y,knee angle_r - z,ankle_angle_r - z,subtalar_anle_r - y,hip flexion_l - z,hip adduction_l - x,hip rotation_l - y,knee angle_l - z,ankle_angle_l - z,subtalar_anle_l - y,lumbar_extension_z,lumbar_bending_x,lumbar_rotation_y,arm_flex_r_z,arm_add_r_x,arm_rot_r_y,elbow_flex_r_z,pro_sup_r_y,wrist_flex_r_z,wrist_dev_r_x,arm_flex_l_z,arm_add_l_x,arm_rot_l_y,elbow_flex_l_z,pro_sup_l_y,wrist_flex_l_z,wrist_dev_l_x,Sailangle-z,Sailangle-x,Sailangle-y,Boardangle-z,Boardangle-x,Boardangle-y,sailing speed,sailing direction,Upwind - 1_ Downwind - 0,sidewind R-1_ L-0,wind speed,wind direction
128.0167,0,0,0,-0.1787964,0.002327903,-0.001025822,-0.129953,0.04414286,-0.00920374,-0.112213,0.4401991,-0.01311285,-0.09598721,0.8494631,-0.01400587,-0.04034543,0.9292811,-0.09035933,-0.1438887,1.007048,-0.09407975,-0.1604279,1.378075,-0.1034352,-0.1635063,1.382223,0.06648637,0.02072468,1.173691,0.1357008,0.2249896,1.201729,-0.008366113,-0.1573495,1.373928,-0.2733567,0.02908193,1.162432,-0.3256043,0.2280225,1.197643,-0.1757764,-0.09144545,0.8481214,-0.1684533,-0.1110058,0.4393619,-0.1505697,-0.1285172,0.04353121,-0.1363599,-0.1786423,0.003186432,-0.1441584,-0.00011012,-0.00568718,-0.1394544,-0.1539462,0.9264493,-0.07525918,0.07318625,-0.01197957,0.1369542,2.163317,0.04269008,-2.118555,-3.729602,0.07865816,1.687288,0.6249449,2.27425,0.3704814,-4.127844,1.840748,0.07331628,0.1554387,-4.69E-10,0,0.9879168,-0.8644932,0.6937526,37.4324,-15.35613,37.4324,78.26689,44.32908,0,0,37.4324,-15.35613,37.4324,78.26689,44.32908,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.0333,0,0,0,-0.1787967,0.002338595,-0.000934919,-0.1299552,0.04415011,-0.009141286,-0.1125198,0.4402175,-0.01328132,-0.09664375,0.8494944,-0.01441403,-0.04101692,0.9292761,-0.09081626,-0.1445615,1.00704,-0.09455465,-0.161026,1.378069,-0.1039924,-0.1640959,1.382255,0.06592828,0.02012046,1.173722,0.1351779,0.2243863,1.201662,-0.008906647,-0.1579562,1.373883,-0.2739132,0.02845441,1.162358,-0.3261187,0.2274105,1.197538,-0.1763044,-0.0921309,0.8480785,-0.1688616,-0.1115519,0.4393213,-0.150773,-0.1289219,0.04349152,-0.1363647,-0.179034,0.003125262,-0.1441355,-0.000497959,-0.005683233,-0.1394546,-0.1545011,0.9264444,-0.07564313,0.03639334,-0.01130672,0.1189555,2.14634,0.0369451,-2.129094,-3.681097,0.07437563,1.67633,0.6296782,2.230081,0.4040266,-4.109223,1.840927,0.07572422,0.154474,-4.64E-10,0,0.9752157,-0.8506065,0.6849717,37.43932,-15.35559,37.43932,78.25717,44.33459,0,0,37.43932,-15.35559,37.43932,78.25717,44.33459,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.05,0,0,0,-0.1787966,0.002323371,-0.0009999,-0.1299555,0.04414056,-0.009179875,-0.1126471,0.4402159,-0.01308359,-0.0968228,0.8494961,-0.01396968,-0.04119095,0.9293402,-0.09030308,-0.1447697,1.007058,-0.09406161,-0.1614423,1.378081,-0.10334,-0.164652,1.382186,0.06658007,0.0196536,1.173749,0.1358785,0.2240214,1.20185,-0.008029696,-0.1582326,1.373976,-0.2732602,0.02836714,1.162604,-0.3254102,0.2271833,1.197806,-0.1754154,-0.09222394,0.8481561,-0.1684154,-0.1115827,0.4393856,-0.1505622,-0.1289011,0.04354543,-0.1363811,-0.1790027,0.003175904,-0.1442024,-0.000468033,-0.005608285,-0.1394251,-0.1547333,0.9264683,-0.07519908,0.011312,-0.003409179,0.03707957,2.161265,0.03424201,-2.148814,-3.70037,0.0801073,1.708392,0.618937,2.211949,0.3694926,-4.125925,1.837281,0.07577169,0.1559397,-4.59E-10,0,0.9814938,-0.8518718,0.670278,37.44615,-15.35505,37.44615,78.24751,44.34009,0,0,37.44615,-15.35505,37.44615,78.24751,44.34009,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.0667,0,0,0,-0.1787965,0.002330503,-0.000991018,-0.1299542,0.04414485,-0.009178197,-0.1123537,0.4402068,-0.01313953,-0.09634451,0.8494786,-0.01408869,-0.04063434,0.9292749,-0.090415,-0.1441644,1.007055,-0.09422833,-0.1611424,1.378063,-0.1035393,-0.1644522,1.382176,0.06637869,0.01999596,1.173904,0.1357939,0.2244226,1.202159,-0.008000294,-0.1578326,1.37395,-0.2734573,0.02898118,1.162738,-0.3254871,0.227683,1.198108,-0.1753805,-0.09168607,0.8481073,-0.1685324,-0.1112054,0.4393459,-0.1506476,-0.1286739,0.04351335,-0.1364356,-0.1787883,0.003161656,-0.1442664,-0.000258214,-0.005688126,-0.1394416,-0.154345,0.9264566,-0.07533163,0.02068219,-0.01614172,0.03534604,2.152298,0.03403535,-2.171881,-3.691573,0.08144326,1.730596,0.634721,2.253843,0.3783418,-4.112832,1.831747,0.06848272,0.1553037,-4.57E-10,0,1.063766,-0.8430092,0.6588681,37.44828,-15.35489,37.44828,78.24447,44.34184,0,0,37.44828,-15.35489,37.44828,78.24447,44.34184,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.0833,0,0,0,-0.1787965,0.002333553,-0.000977271,-0.1299542,0.04414686,-0.009169313,-0.1122762,0.4402051,-0.01315008,-0.09629331,0.849477,-0.01412256,-0.04051712,0.929253,-0.0904218,-0.1440215,1.007064,-0.09429545,-0.1609937,1.378074,-0.1035626,-0.1644816,1.382159,0.0663525,0.01990269,1.173882,0.1359255,0.2244803,1.202157,-0.007650055,-0.1575057,1.373989,-0.2734778,0.02937149,1.162794,-0.3253459,0.2279161,1.198133,-0.1750244,-0.09155047,0.8480974,-0.1685636,-0.1111009,0.4393386,-0.1506505,-0.1285927,0.04350815,-0.136411,-0.1787085,0.003158629,-0.144244,-0.000179395,-0.005700628,-0.1394001,-0.1542266,0.9264605,-0.07534665,0.02467395,-0.03521941,0.03523462,2.144862,0.03095302,-2.201799,-3.670516,0.08047386,1.761887,0.649101,2.264732,0.3816159,-4.098515,1.833948,0.04340538,0.154397,-4.56E-10,0,1.080611,-0.8320061,0.6294738,37.4502,-15.35474,37.4502,78.2417,44.34344,0,0,37.4502,-15.35474,37.4502,78.2417,44.34344,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.1,0,0,0,-0.1787966,0.002332605,-0.000972536,-0.1299546,0.04414645,-0.00916438,-0.1123145,0.4402067,-0.01311976,-0.09643444,0.849482,-0.01406792,-0.040614,0.9292596,-0.09033314,-0.1441128,1.007076,-0.09425778,-0.1609408,1.378094,-0.1034527,-0.1645748,1.38214,0.06646029,0.01967906,1.173785,0.1361437,0.2243922,1.202011,-0.007247892,-0.1573068,1.374048,-0.2733657,0.02954439,1.162801,-0.3251201,0.2279719,1.198026,-0.1746173,-0.09160934,0.8481105,-0.1685065,-0.1111356,0.4393497,-0.1506134,-0.1286015,0.04351735,-0.1363931,-0.178714,0.003164762,-0.1442321,-0.000184661,-0.005682519,-0.1393738,-0.1542504,0.9264698,-0.07527346,0.0290757,0.01898706,0.01554201,2.14384,0.03027168,-2.228236,-3.653449,0.08047488,1.792384,0.6577137,2.259067,0.378215,-4.091278,1.835163,0.01779618,0.1540838,-4.55E-10,0,1.061403,-0.8232853,0.6099132,37.45205,-15.35459,37.45205,78.23902,44.34499,0,0,37.45205,-15.35459,37.45205,78.23902,44.34499,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.1167,0,0,0,-0.1787968,0.002320679,-0.000967708,-0.1299578,0.04413964,-0.009151149,-0.1129057,0.4402266,-0.01300368,-0.09753861,0.8495226,-0.01384267,-0.04178136,0.929387,-0.09006326,-0.1453654,1.007089,-0.09399752,-0.162415,1.3781,-0.1030681,-0.166113,1.382084,0.06684502,0.0182706,1.173841,0.1365182,0.2230206,1.202213,-0.00679174,-0.158717,1.374116,-0.2729811,0.02830942,1.163025,-0.3247384,0.2266629,1.198289,-0.1741474,-0.0926601,0.8482066,-0.16828,-0.1118577,0.4394269,-0.1504618,-0.1290093,0.04357827,-0.1363139,-0.1790889,0.003187149,-0.1441642,-0.000552969,-0.005518675,-0.1392928,-0.1553557,0.9265033,-0.07501147,0.1146988,-0.07624274,0.1080821,2.163362,0.02796875,-2.249145,-3.644987,0.07694563,1.811949,0.6449238,2.17429,0.3629043,-4.107929,1.844517,0.003198317,0.154648,-4.49E-10,0,1.032304,-0.8226799,0.6086421,37.46016,-15.35396,37.46016,78.22766,44.35136,0,0,37.46016,-15.35396,37.46016,78.22766,44.35136,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.1333,0,0,0,-0.1787967,0.002318242,-0.000989003,-0.1299572,0.04413795,-0.009166014,-0.1128495,0.440223,-0.01297417,-0.09738841,0.8495158,-0.01376622,-0.04159746,0.9294,-0.08994145,-0.1451803,1.007102,-0.09390261,-0.1619454,1.37813,-0.1028347,-0.1657633,1.382048,0.0670773,0.01843618,1.173656,0.1367963,0.2233124,1.201911,-0.006356144,-0.1581276,1.374212,-0.2727466,0.02880018,1.163021,-0.3244516,0.2270725,1.198053,-0.1736999,-0.09244038,0.848239,-0.1682017,-0.1116348,0.4394521,-0.1505495,-0.1287891,0.04359787,-0.1365613,-0.1788619,0.003208652,-0.1444649,-0.000329514,-0.005495391,-0.13946,-0.1550813,0.9265158,-0.0749059,0.03309231,-0.006920591,0.2670819,2.1784,0.03162874,-2.265326,-3.658058,0.06787582,1.837531,0.6399898,2.18245,0.3563317,-4.106943,1.837156,0.02070028,0.1558068,-4.45E-10,0,0.9883523,-0.8161682,0.5930045,37.46647,-15.35347,37.46647,78.21884,44.3563,0,0,37.46647,-15.35347,37.46647,78.21884,44.3563,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.15,0,0,0,-0.1787967,0.002317307,-0.000992341,-0.1299573,0.04413741,-0.009167606,-0.1128367,0.4402221,-0.01294898,-0.09739842,0.8495156,-0.01371444,-0.04164244,0.9294147,-0.08989963,-0.1452658,1.007062,-0.09388532,-0.1621561,1.378081,-0.1029221,-0.1661179,1.382039,0.0669856,0.01811329,1.173744,0.136908,0.2231007,1.202021,-0.006080645,-0.1581943,1.374123,-0.2728299,0.02886798,1.162999,-0.3243243,0.2270024,1.198123,-0.1734128,-0.0924352,0.848212,-0.1681492,-0.1115936,0.4394298,-0.1503484,-0.1287166,0.04357937,-0.1362167,-0.1787886,0.003183864,-0.1440934,-0.000254359,-0.005505911,-0.1391307,-0.1551645,0.926489,-0.07488482,-0.1596059,0.08782876,-0.08530094,2.202252,0.02522888,-2.281785,-3.685557,0.08147019,1.843529,0.6448728,2.184203,0.3526129,-4.131639,1.847901,0.000793947,0.1561833,-4.42E-10,0,0.977765,-0.8218875,0.5506475,37.47094,-15.35312,37.47094,78.21252,44.35984,0,0,37.47094,-15.35312,37.47094,78.21252,44.35984,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128.1667,0,0,0,-0.1787968,0.002323635,-0.000953066,-0.1299578,0.04414151,-0.009142057,-0.1128977,0.4402277,-0.01304278,-0.09753852,0.8495237,-0.01393206,-0.04177534,0.9294124,-0.09012288,-0.1453917,1.007068,-0.09411395,-0.1621933,1.378092,-0.1031335,-0.1662318,1.38204,0.06677269,0.01794506,1.173719,0.1367621,0.2230058,1.201934,-0.006133359,-0.1581548,1.374145,-0.2730397,0.02890779,1.163003,-0.3244595,0.2269827,1.198047,-0.1734517,-0.09257549,0.8482088,-0.1683667,-0.1116957,0.4394231,-0.1506092,-0.1287825,0.04356952,-0.1365193,-0.17885,0.003170109,-0.144404,-0.00031537,-0.005503337,-0.1394283,-0.1552407,0.9264958,-0.07507747,0.3023264,0.05896472,0.1340984,2.19957,0.02515978,-2.289485,-3.668904,0.06867957,1.84309,0.6471125,2.175403,0.3699462,-4.121394,1.837549,0.004989834,0.1563291,-4.37E-10,0,0.9690554,-0.8157178,0.5241441,37.47804,-15.35257,37.47804,78.20265,44.36528,0,0,37.47804,-15.35257,37.47804,78.20265,44.36528,0,0,0,0,0,0,0,0,0,0,1,1,0,0
